date,home_team,away_team,team,scorer,minute,own_goal,penalty
1986-06-17,Italy,France,France,Michel Platini,15.0,False,False
2002-10-12,North Macedonia,Turkey,Turkey,Okan Buruk,29.0,False,False
2002-10-16,Germany,Faroe Islands,Germany,Michael Ballack,2.0,False,True
1979-08-02,Brazil,Argentina,Argentina,Hugo Coscia,29.0,False,False
1962-06-07,Czechoslovakia,Mexico,Mexico,Alfredo del Águila,29.0,False,False
2004-09-04,Burkina Faso,Uganda,Burkina Faso,Abdoul-Aziz Nikiema,79.0,False,False
1957-05-08,England,Republic of Ireland,Republic of Ireland,Dermot Curtis,56.0,False,False
2022-01-09,Cameroon,Burkina Faso,Cameroon,Vincent Aboubakar,45.0,False,True
2012-01-23,Morocco,Tunisia,Tunisia,Youssef Msakni,76.0,False,False
2008-02-06,Jordan,North Korea,North Korea,Hong Yong-jo,44.0,False,False
1938-03-25,Hungary,Greece,Hungary,Pál Titkos,75.0,False,False
1994-06-28,Russia,Cameroon,Russia,Oleg Salenko,75.0,False,False
2019-09-05,Finland,Greece,Finland,Teemu Pukki,52.0,False,True
2000-11-15,Brazil,Colombia,Brazil,Roque Júnior,90.0,False,False
2008-10-11,Slovenia,Northern Ireland,Slovenia,Zlatan Ljubijankić,85.0,False,False
2013-10-15,Jamaica,Honduras,Jamaica,Rodolph Austin,59.0,False,True
1957-07-06,United States,Canada,Canada,Brian Philley,9.0,False,False
1999-03-27,Northern Ireland,Germany,Germany,Marco Bode,11.0,False,False
2016-03-29,Colombia,Ecuador,Colombia,Sebastián Pérez Cardona,48.0,False,False
1993-06-07,India,Bahrain,Bahrain,Khamis Mubarak,20.0,False,False
1973-04-15,Zambia,Ethiopia,Zambia,Moses Simwala,71.0,False,False
2002-01-30,Costa Rica,South Korea,Costa Rica,Paulo Wanchope,82.0,False,False
1973-05-20,Vietnam Republic,Japan,Japan,Kunishige Kamamoto,6.0,False,False
1989-06-25,Angola,Cameroon,Angola,Paulo António Alves,5.0,False,False
1996-12-07,United Arab Emirates,Kuwait,Kuwait,Jasem Al-Huwaidi,44.0,False,False
2004-01-30,Senegal,Kenya,Senegal,Mamadou Niang,31.0,False,False
1992-11-29,Cyprus,Romania,Romania,Florin Răducioiu,36.0,False,False
1967-01-25,Argentina,Venezuela,Argentina,Juan Carlos Carone,26.0,False,False
1949-04-30,Brazil,Uruguay,Brazil,Jair,40.0,False,True
2009-03-28,Colombia,Bolivia,Colombia,Macnelly Torres,26.0,False,False
2015-09-04,Canada,Belize,Canada,Atiba Hutchinson,90.0,False,False
2009-08-12,Mexico,United States,United States,Charlie Davies,9.0,False,False
2001-04-22,Liberia,Sudan,Liberia,George Weah,48.0,False,False
2013-06-09,Guinea,Mozambique,Guinea,Sadio Diallo,45.0,False,True
1977-03-30,England,Luxembourg,England,Mick Channon,68.0,False,False
2001-03-25,Mexico,Jamaica,Mexico,Jared Borgetti,88.0,False,False
2015-06-11,Dominican Republic,Belize,Belize,Deon McCaulay,13.0,False,False
2008-06-22,Benin,Niger,Benin,Jocelyn Ahouéya,45.0,False,False
2008-06-21,Saint Lucia,Guatemala,Guatemala,Gonzalo Romero,43.0,False,False
1992-11-08,Jamaica,Bermuda,Jamaica,Hector Wright,75.0,False,True
2016-03-25,Saint Vincent and the Grenadines,Trinidad and Tobago,Saint Vincent and the Grenadines,Myron Samuel,45.0,False,True
1991-10-09,Austria,Denmark,Denmark,Bent Christensen Arensøe,37.0,False,False
2015-06-11,Hong Kong,Bhutan,Hong Kong,Jaimes McKee,19.0,False,False
1975-08-20,Peru,Chile,Peru,Teófilo Cubillas,39.0,False,False
2001-04-09,Australia,Tonga,Australia,Kevin Muscat,82.0,False,False
1953-10-03,Northern Ireland,Scotland,Scotland,Jackie Henderson,89.0,False,False
1996-01-12,Brazil,Canada,Canada,Tomasz Radzinski,66.0,False,False
2013-07-13,United States,Cuba,United States,Joe Corona,57.0,False,False
1960-07-06,France,Yugoslavia,Yugoslavia,Dražan Jerković,79.0,False,False
1997-11-16,Uruguay,Ecuador,Ecuador,Ariel Graziani,59.0,False,False
2017-03-26,Montenegro,Poland,Montenegro,Stefan Mugoša,63.0,False,False
1973-02-25,Morocco,Guinea,Morocco,Ahmed Faras,68.0,False,False
2007-10-17,France,Lithuania,France,Thierry Henry,80.0,False,False
2019-09-10,Zimbabwe,Somalia,Zimbabwe,Admiral Muskwe,86.0,False,False
1980-02-27,Solomon Islands,Tahiti,Tahiti,,,False,False
1987-10-28,Netherlands,Cyprus,Netherlands,John Bosman,1.0,False,False
2008-06-02,Thailand,Bahrain,Bahrain,Ismail Abdullatif,34.0,False,False
2019-11-16,Austria,North Macedonia,North Macedonia,Vlatko Stojanovski,90.0,False,False
2017-10-08,Germany,Azerbaijan,Azerbaijan,Ramil Sheydayev,34.0,False,False
2010-06-25,Chile,Spain,Spain,Andrés Iniesta,37.0,False,False
2015-06-16,Hong Kong,Maldives,Hong Kong,Lam Ka Wai,67.0,False,False
2023-07-12,United States,Panama,Panama,Iván Anderson,99.0,False,False
2010-09-07,North Macedonia,Armenia,North Macedonia,Ilčo Naumoski,90.0,False,True
1938-06-05,Cuba,Romania,Romania,Silviu Bindea,35.0,False,False
1993-05-18,Saudi Arabia,Kuwait,Saudi Arabia,Majed Abdullah,89.0,False,False
2011-09-06,San Marino,Sweden,Sweden,Christian Wilhelmsson,70.0,False,False
1995-04-26,San Marino,Scotland,Scotland,John Collins,19.0,False,False
2006-06-11,Angola,Portugal,Portugal,Pauleta,4.0,False,False
1924-11-01,Chile,Paraguay,Paraguay,Ildefonso López,33.0,False,False
1955-03-13,Ecuador,Peru,Peru,Óscar Gómez Sánchez,11.0,False,False
1980-02-26,Australia,Papua New Guinea,Australia,Ian Hunter,,False,False
1988-06-03,Libya,Burkina Faso,Libya,Ezzewdin Bezan,8.0,False,False
2019-10-10,Russia,Scotland,Russia,Artem Dzyuba,57.0,False,False
2019-10-13,Cyprus,Russia,Russia,Denis Cheryshev,90.0,False,False
2011-10-11,Bolivia,Colombia,Bolivia,Wálter Flores,85.0,False,False
1982-07-11,Italy,Germany,Italy,Alessandro Altobelli,81.0,False,False
1981-08-14,Australia,Fiji,Australia,Dave Mitchell,29.0,False,False
1997-08-17,Tunisia,Namibia,Tunisia,Skander Souayah,31.0,False,False
2019-09-10,Moldova,Turkey,Turkey,Cenk Tosun,79.0,False,False
2016-10-07,Hungary,Switzerland,Switzerland,Haris Seferovic,51.0,False,False
1972-05-14,Romania,Hungary,Romania,Alexandru Neagu,81.0,False,False
1982-06-15,Scotland,New Zealand,Scotland,John Robertson,73.0,False,False
2009-06-17,South Korea,Iran,South Korea,Park Ji-sung,82.0,False,False
2007-07-02,Argentina,Colombia,Colombia,Edixon Perea,10.0,False,False
2015-01-27,South Africa,Ghana,Ghana,John Boye,73.0,False,False
1946-01-26,Argentina,Chile,Argentina,Ángel Labruna,60.0,False,False
2000-02-19,Honduras,Peru,Honduras,Carlos Pavón,67.0,False,True
2010-09-07,Germany,Azerbaijan,Germany,Holger Badstuber,86.0,False,False
1989-10-11,Republic of Ireland,Northern Ireland,Republic of Ireland,Ronnie Whelan,42.0,False,False
2016-03-24,Saudi Arabia,Malaysia,Saudi Arabia,Mohammad Al-Sahlawi,50.0,False,False
1960-08-28,Ghana,Nigeria,Ghana,Edward Acquah,18.0,False,False
2004-02-18,Haiti,Turks and Caicos Islands,Haiti,Johnny Descouines,45.0,False,False
1972-10-07,Luxembourg,Italy,Italy,Fabio Capello,62.0,False,False
1993-06-02,Scotland,Estonia,Scotland,Pat Nevin,27.0,False,False
2010-10-12,Scotland,Spain,Scotland,Steven Naismith,58.0,False,False
